Community_id,Density,Fraud_Density,Score,N_Nodes,N_Edges,N_Nodes_bins,N_Edges_bins,count,weight_count,type,pct
51,0.010096083499975613,0.010860689204638249,0.01478739133775223,203,207,Low,Low,59,40.0,originated_at,67.79661016949152
51,0.010096083499975613,0.010860689204638249,0.01478739133775223,203,207,Low,Low,3,0.0,owns,0.0
52,0.0019138755980861245,0.0017815435325520964,0.0026869017379608194,1331,1694,Medium,Medium,471,0.0,part_of,0.0
52,0.0019138755980861245,0.0017815435325520964,0.0026869017379608194,1331,1694,Medium,Medium,408,359.0,originated_at,87.99019607843137
52,0.0019138755980861245,0.0017815435325520964,0.0026869017379608194,1331,1694,Medium,Medium,2,0.0,owns,0.0
53,0.016012558869701727,0.01012987012987013,0.020389772508660833,196,306,Low,Low,79,0.0,part_of_mismatch,0.0
53,0.016012558869701727,0.01012987012987013,0.020389772508660833,196,306,Low,Low,79,1.0,part_of_manifest,1.2658227848101267
53,0.016012558869701727,0.01012987012987013,0.020389772508660833,196,306,Low,Low,76,10.0,originated_at,13.157894736842104
53,0.016012558869701727,0.01012987012987013,0.020389772508660833,196,306,Low,Low,1,0.0,owns,0.0
54,0.00492139995526,0.0040868222686404505,0.006692667347839548,444,484,Low,Low,147,0.0,part_of,0.0
54,0.00492139995526,0.0040868222686404505,0.006692667347839548,444,484,Low,Low,123,8.0,originated_at,6.504065040650407
55,0.4,0.3333333333333333,0.5249387366082999,5,4,Low,Low,2,0.0,part_of,0.0
56,0.0033782975485809716,0.002788339670468948,0.004587572928283625,647,706,Low,Low,210,1.0,part_of_mismatch,0.4761904761904762
56,0.0033782975485809716,0.002788339670468948,0.004587572928283625,647,706,Low,Low,210,2.0,part_of_manifest,0.9523809523809524
56,0.0033782975485809716,0.002788339670468948,0.004587572928283625,647,706,Low,Low,175,11.0,originated_at,6.2857142857142865
57,0.022121993127147768,0.022556390977443608,0.031809260530279465,97,103,Low,Low,34,0.0,part_of_mismatch,0.0
57,0.022121993127147768,0.022556390977443608,0.031809260530279465,97,103,Low,Low,34,2.0,part_of_manifest,5.88235294117647
57,0.022121993127147768,0.022556390977443608,0.031809260530279465,97,103,Low,Low,31,25.0,originated_at,80.64516129032258
57,0.022121993127147768,0.022556390977443608,0.031809260530279465,97,103,Low,Low,1,0.0,owns,0.0
58,0.07142857142857142,0.08225108225108226,0.10575660020846472,29,29,Low,Low,10,0.0,part_of,0.0
58,0.07142857142857142,0.08225108225108226,0.10575660020846472,29,29,Low,Low,9,0.0,originated_at,0.0
59,0.0027997991868169455,0.0021637129313902656,0.003738472629225957,852,1015,Low,Low,290,0.0,part_of_mismatch,0.0
59,0.0027997991868169455,0.0021637129313902656,0.003738472629225957,852,1015,Low,Low,290,1.0,part_of_manifest,0.3448275862068966
59,0.0027997991868169455,0.0021637129313902656,0.003738472629225957,852,1015,Low,Low,250,33.0,originated_at,13.200000000000001
60,0.16666666666666666,0.19444444444444445,0.2438326214789659,12,11,Low,Low,4,0.0,part_of,0.0
60,0.16666666666666666,0.19444444444444445,0.2438326214789659,12,11,Low,Low,3,3.0,originated_at,100.0
61,0.004152884081415844,0.0034522439585730723,0.005649592565316621,499,516,Low,Low,146,0.0,part_of,0.0
61,0.004152884081415844,0.0034522439585730723,0.005649592565316621,499,516,Low,Low,124,17.0,originated_at,13.709677419354838
62,0.0217433508056688,0.01764234161988773,0.029338519421830928,102,112,Low,Low,35,0.0,part_of_mismatch,0.0
62,0.0217433508056688,0.01764234161988773,0.029338519421830928,102,112,Low,Low,35,2.0,part_of_manifest,5.714285714285714
62,0.0217433508056688,0.01764234161988773,0.029338519421830928,102,112,Low,Low,27,7.0,originated_at,25.925925925925924
62,0.0217433508056688,0.01764234161988773,0.029338519421830928,102,112,Low,Low,4,0.0,owns,0.0
63,0.11764705882352941,0.09523809523809523,0.15715560010720306,18,18,Low,Low,5,0.0,part_of,0.0
63,0.11764705882352941,0.09523809523809523,0.15715560010720306,18,18,Low,Low,3,1.0,originated_at,33.33333333333333
63,0.11764705882352941,0.09523809523809523,0.15715560010720306,18,18,Low,Low,2,0.0,owns,0.0
