Community_id,Density,Fraud_Density,Score,N_Nodes,N_Edges,mailer_nodes,owner_nodes,origin_nodes,label_nodes,mailPiece_nodes,mails_edges,owns_edges,originated_at_edges,part_of_edges,destination_nodes,goes_to_edges,originated_at_fraud_pct,owns_fraud_pct,part_of_manifest_fraud_pct,part_of_mismatch_fraud_pct,mailer_nodes_perc,owner_nodes_perc,origin_nodes_perc,label_nodes_perc,mailPiece_nodes_perc,destination_nodes_perc,mails_edges_perc,owns_edges_perc,originated_at_edges_perc,part_of_edges_perc,goes_to_edges_perc
54,0.00492139995526,8.134545380595042e-05,0.0006327191420537306,444,484,2.0,0.0,68.0,147,147,73.0,0.0,123.0,147,80.0,141.0,6.504065040650407,0.0,0.0,0.0,0.0045045045045045045,0.0,0.15315315315315314,0.3310810810810811,0.3310810810810811,0.18018018018018017,0.15082644628099173,0.0,0.25413223140495866,0.3037190082644628,0.29132231404958675
14,0.009274287039183864,3.864286266326609e-05,0.0005986526541784399,228,240,17.0,1.0,39.0,65,65,40.0,17.0,53.0,65,41.0,65.0,1.8867924528301887,0.0,0.0,0.0,0.07456140350877193,0.0043859649122807015,0.17105263157894737,0.2850877192982456,0.2850877192982456,0.17982456140350878,0.16666666666666666,0.07083333333333333,0.22083333333333333,0.2708333333333333,0.2708333333333333
12,0.0061338460130000915,5.492996429552321e-05,0.0005804583899715228,331,335,1.0,0.0,63.0,98,98,65.0,0.0,75.0,98,71.0,97.0,4.0,0.0,0.0,0.0,0.0030211480362537764,0.0,0.1903323262839879,0.29607250755287007,0.29607250755287007,0.21450151057401812,0.19402985074626866,0.0,0.22388059701492538,0.29253731343283584,0.28955223880597014
2,0.0010117083596595917,0.00028705372116787184,0.0005389013354751772,2265,2594,17.0,3.0,25.0,792,792,323.0,3.0,751.0,792,636.0,725.0,96.40479360852197,0.0,1.5151515151515151,0.0,0.0075055187637969095,0.0013245033112582781,0.011037527593818985,0.34966887417218545,0.34966887417218545,0.280794701986755,0.12451811873554357,0.001156515034695451,0.28951426368542793,0.3053199691595991,0.279491133384734
3,0.0010826293007009816,0.00026534125474054804,0.0005359722166930676,2548,3513,3.0,1.0,38.0,927,927,925.0,1.0,868.0,927,652.0,792.0,98.963133640553,0.0,0.2157497303128371,0.0,0.0011773940345368916,0.0003924646781789639,0.014913657770800628,0.36381475667189955,0.36381475667189955,0.25588697017268447,0.2633077142043837,0.0002846569883290635,0.2470822658696271,0.26387702818104186,0.22544833475661827
16,0.0023327444852108527,0.0001182729134896549,0.000525262302752456,892,927,1.0,0.0,187.0,259,259,206.0,0.0,230.0,259,186.0,232.0,19.565217391304348,0.0,0.7722007722007722,0.0,0.0011210762331838565,0.0,0.20964125560538116,0.29035874439461884,0.29035874439461884,0.2085201793721973,0.2222222222222222,0.0,0.2481121898597627,0.27939590075512405,0.25026968716289105
59,0.0027997991868169455,9.378637670125729e-05,0.0005124285523101615,852,1015,1.0,0.0,126.0,290,290,214.0,0.0,250.0,290,145.0,261.0,13.200000000000001,0.0,0.3448275862068966,0.0,0.0011737089201877935,0.0,0.14788732394366197,0.3403755868544601,0.3403755868544601,0.17018779342723006,0.21083743842364533,0.0,0.24630541871921183,0.2857142857142857,0.2571428571428571
56,0.0033782975485809716,6.69917360908408e-05,0.00047572893312354975,647,706,1.0,0.0,105.0,210,210,124.0,0.0,175.0,210,121.0,197.0,6.2857142857142865,0.0,0.9523809523809524,0.4761904761904762,0.0015455950540958269,0.0,0.16228748068006182,0.32457496136012365,0.32457496136012365,0.18701700154559506,0.17563739376770537,0.0,0.24787535410764872,0.29745042492917845,0.2790368271954674
17,0.002426627315953435,6.831721047166202e-05,0.0004071614042124758,856,888,2.0,1.0,168.0,258,258,185.0,1.0,219.0,258,169.0,225.0,10.95890410958904,0.0,0.0,0.3875968992248062,0.002336448598130841,0.0011682242990654205,0.19626168224299065,0.3014018691588785,0.3014018691588785,0.19742990654205608,0.20833333333333334,0.0011261261261261261,0.24662162162162163,0.2905405405405405,0.2533783783783784
7,0.0053465893399613365,2.2093344380005524e-05,0.00034369177986421533,426,484,1.0,0.0,63.0,143,143,81.0,0.0,122.0,143,76.0,138.0,1.639344262295082,0.0,0.0,0.0,0.002347417840375587,0.0,0.14788732394366197,0.33568075117370894,0.33568075117370894,0.1784037558685446,0.16735537190082644,0.0,0.25206611570247933,0.29545454545454547,0.28512396694214875
19,0.0022261661237862407,5.2268574944821016e-05,0.0003411136627001956,918,937,3.0,0.0,201.0,258,258,215.0,0.0,222.0,258,198.0,242.0,9.00900900900901,0.0,0.7751937984496124,0.3875968992248062,0.0032679738562091504,0.0,0.21895424836601307,0.28104575163398693,0.28104575163398693,0.21568627450980393,0.2294557097118463,0.0,0.23692636072572038,0.2753468516542156,0.25827107790821774
10,0.0008180749318315245,1.4193449261878542e-06,3.40753650565412e-05,3358,4611,1.0,1.0,17.0,1197,1197,1142.0,1.0,1153.0,1197,945.0,1118.0,0.6938421509106678,0.0,0.0,0.0,0.0002977963073257892,0.0002977963073257892,0.005062537224538415,0.3564621798689696,0.3564621798689696,0.2814175104228708,0.24766861852092822,0.00021687269572760788,0.2500542181739319,0.25959661678594664,0.24246367382346562
55,0.4,0.0,0.0,5,4,0.0,0.0,0.0,2,2,0.0,0.0,0.0,2,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2,0.0,0.0,0.0,0.5,0.5
6,0.4,0.0,0.0,5,4,0.0,0.0,0.0,2,2,0.0,0.0,0.0,2,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2,0.0,0.0,0.0,0.5,0.5
58,0.07142857142857142,0.0,0.0,29,29,0.0,0.0,2.0,10,10,0.0,0.0,9.0,10,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06896551724137931,0.3448275862068966,0.3448275862068966,0.2413793103448276,0.0,0.0,0.3103448275862069,0.3448275862068966,0.3448275862068966
46,0.08,0.0,0.0,25,24,0.0,0.0,2.0,9,9,0.0,0.0,7.0,9,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.36,0.36,0.2,0.0,0.0,0.2916666666666667,0.375,0.3333333333333333
30,0.25,0.0,0.0,9,9,1.0,1.0,1.0,2,2,2.0,1.0,2.0,2,2.0,2.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.2222222222222222
22,0.0625,0.0,0.0,32,31,5.0,1.0,5.0,8,8,5.0,5.0,6.0,8,5.0,7.0,0.0,0.0,0.0,0.0,0.15625,0.03125,0.15625,0.25,0.25,0.15625,0.16129032258064516,0.16129032258064516,0.1935483870967742,0.25806451612903225,0.22580645161290322
